pickup_location,dropoff_location,order_time,dispatch_time,estimated_delivery_time,actual_delivery_time,delivery_distance_km,num_items,traffic_level,vehicle_type
Dublin 1,Dublin 6,15-02-2024 06:11,15-02-2024 06:13,15-02-2024 06:25,15-02-2024 06:27,3.8,2,High,Car
Dublin 1,Dublin 9,07-01-2024 18:35,07-01-2024 18:42,07-01-2024 18:49,07-01-2024 18:49,2.9,1,Medium,Bike
Dublin 14,Dublin 12,13-01-2024 02:49,13-01-2024 02:54,13-01-2024 03:15,13-01-2024 03:19,6.06,1,Medium,Car
Dublin 6,Dublin 9,09-02-2024 14:39,09-02-2024 14:47,09-02-2024 15:03,09-02-2024 15:06,7.53,3,Medium,Van
Dublin 1,Dublin 6,18-02-2024 22:56,18-02-2024 23:06,18-02-2024 23:15,18-02-2024 23:16,3.13,2,High,Car
Dublin 14,Dublin 12,06-01-2024 01:54,06-01-2024 02:01,06-01-2024 02:16,06-01-2024 02:14,6.71,2,Medium,Car
Dublin 11,Dublin 14,13-01-2024 20:57,13-01-2024 20:59,13-01-2024 21:21,13-01-2024 21:20,10.9,2,Medium,Van
Dublin 9,Dublin 6,01-02-2024 13:34,01-02-2024 13:41,01-02-2024 14:09,01-02-2024 14:11,6.68,2,High,Bike
Dublin 1,Dublin 6,07-02-2024 22:21,07-02-2024 22:33,07-02-2024 22:40,07-02-2024 22:40,3.39,4,Medium,Car
Dublin 1,Dublin 6,06-01-2024 12:15,06-01-2024 12:17,06-01-2024 12:23,06-01-2024 12:24,2.88,3,Low,Bike
Dublin 9,Dublin 15,29-02-2024 23:19,29-02-2024 23:34,29-02-2024 23:57,29-02-2024 23:57,10.09,2,Low,Car
Dublin 12,Dublin 2,01-03-2024 02:20,01-03-2024 02:22,01-03-2024 02:32,01-03-2024 02:32,6.51,3,Low,Bike
Dublin 9,Dublin 6,10-02-2024 16:55,10-02-2024 17:07,10-02-2024 17:27,10-02-2024 17:27,7.18,5,Medium,Car
Dublin 6,Dublin 14,25-01-2024 16:26,25-01-2024 16:32,25-01-2024 16:38,25-01-2024 16:39,2.34,2,Medium,Bike
Dublin 11,Dublin 15,14-02-2024 14:08,14-02-2024 14:13,14-02-2024 14:24,14-02-2024 14:26,7.15,2,Low,Van
Dublin 14,Dublin 6,29-01-2024 02:08,29-01-2024 02:20,29-01-2024 02:28,29-01-2024 02:28,2.32,3,Medium,Car
Dublin 4,Dublin 1,22-01-2024 17:35,22-01-2024 17:47,22-01-2024 17:54,22-01-2024 17:55,3.19,3,Medium,Van
Dublin 1,Dublin 12,04-01-2024 09:44,04-01-2024 09:49,04-01-2024 10:02,04-01-2024 10:05,6.11,4,Low,Van
Dublin 2,Dublin 1,26-01-2024 17:41,26-01-2024 17:55,26-01-2024 17:59,26-01-2024 17:59,1.54,3,Medium,Van
Dublin 11,Dublin 12,05-01-2024 09:01,05-01-2024 09:05,05-01-2024 09:26,05-01-2024 09:24,8.46,6,Low,Car
Dublin 1,Dublin 8,04-01-2024 04:23,04-01-2024 04:32,04-01-2024 04:37,04-01-2024 04:37,2.66,2,Medium,Van
Dublin 9,Dublin 8,24-02-2024 02:58,24-02-2024 03:02,24-02-2024 03:18,24-02-2024 03:19,5.49,6,Medium,Van
Dublin 11,Dublin 1,11-01-2024 06:34,11-01-2024 06:43,11-01-2024 06:53,11-01-2024 06:54,4.43,2,Medium,Car
Dublin 14,Dublin 12,08-02-2024 21:52,08-02-2024 22:02,08-02-2024 22:13,08-02-2024 22:14,5.14,1,Medium,Bike
Dublin 11,Dublin 12,23-01-2024 00:24,23-01-2024 00:27,23-01-2024 01:01,23-01-2024 01:02,8.51,5,High,Car
Dublin 8,Dublin 2,24-01-2024 01:59,24-01-2024 02:12,24-01-2024 02:18,24-01-2024 02:18,2.02,3,Medium,Bike
Dublin 15,Dublin 8,03-02-2024 06:08,03-02-2024 06:13,03-02-2024 06:34,03-02-2024 06:36,9.64,2,Medium,Van
Dublin 15,Dublin 1,12-01-2024 15:33,12-01-2024 15:38,12-01-2024 16:10,12-01-2024 16:09,10.79,0,Medium,Bike
Dublin 4,Dublin 12,12-02-2024 10:50,12-02-2024 10:51,12-02-2024 11:13,12-02-2024 11:11,8.09,6,Medium,Van
Dublin 12,Dublin 14,21-01-2024 03:53,21-01-2024 04:00,21-01-2024 04:10,21-01-2024 04:10,6.22,3,Low,Bike
Dublin 15,Dublin 14,29-01-2024 22:00,29-01-2024 22:02,29-01-2024 22:44,29-01-2024 22:37,13.69,1,Medium,Car
Dublin 8,Dublin 12,12-01-2024 21:55,12-01-2024 21:59,12-01-2024 22:12,12-01-2024 22:11,3.89,5,Medium,Car
Dublin 1,Dublin 6,11-01-2024 18:00,11-01-2024 18:11,11-01-2024 18:18,11-01-2024 18:19,4.07,3,Low,Van
Dublin 15,Dublin 9,05-01-2024 03:39,05-01-2024 03:48,05-01-2024 04:25,05-01-2024 04:17,10.04,3,Medium,Car
Dublin 8,Dublin 1,02-02-2024 11:52,02-02-2024 12:01,02-02-2024 12:06,02-02-2024 12:06,2.14,3,Medium,Bike
Dublin 2,Dublin 14,10-02-2024 17:31,10-02-2024 17:33,10-02-2024 17:45,10-02-2024 17:43,3.76,5,Medium,Bike
Dublin 9,Dublin 11,07-01-2024 19:57,07-01-2024 20:08,07-01-2024 20:20,07-01-2024 20:20,3.84,1,Medium,Bike
Dublin 15,Dublin 9,31-01-2024 19:47,31-01-2024 19:54,31-01-2024 20:30,31-01-2024 20:23,9.8,5,High,Van
Dublin 8,Dublin 15,04-01-2024 04:03,04-01-2024 04:06,04-01-2024 04:36,04-01-2024 04:37,9.83,2,Medium,Bike
Dublin 15,Dublin 1,11-01-2024 00:04,11-01-2024 00:14,11-01-2024 00:37,11-01-2024 00:41,10.24,3,Low,Car
Dublin 14,Dublin 15,01-02-2024 15:35,01-02-2024 15:39,01-02-2024 16:14,01-02-2024 16:13,14.36,7,Medium,Car
Dublin 4,Dublin 11,29-02-2024 10:13,29-02-2024 10:15,29-02-2024 10:39,29-02-2024 10:36,9.16,0,High,Van
Dublin 15,Dublin 14,22-02-2024 14:52,22-02-2024 15:03,22-02-2024 15:44,22-02-2024 15:46,14.78,4,Medium,Car
Dublin 14,Dublin 1,25-02-2024 14:14,25-02-2024 14:22,25-02-2024 14:38,25-02-2024 14:36,6.3,2,Medium,Bike
Dublin 6,Dublin 15,28-01-2024 00:12,28-01-2024 00:27,28-01-2024 00:56,28-01-2024 00:58,12.06,5,Low,Car
Dublin 9,Dublin 6,11-02-2024 19:45,11-02-2024 19:51,11-02-2024 20:14,11-02-2024 20:19,6.72,3,Medium,Bike
Dublin 11,Dublin 9,08-01-2024 14:05,08-01-2024 14:11,08-01-2024 14:21,08-01-2024 14:23,2.84,4,Medium,Bike
Dublin 12,Dublin 15,22-01-2024 07:12,22-01-2024 07:20,22-01-2024 07:52,22-01-2024 07:56,10.04,4,Medium,Van
Dublin 4,Dublin 14,23-01-2024 15:05,23-01-2024 15:18,23-01-2024 15:28,23-01-2024 15:28,3.19,2,High,Car
Dublin 15,Dublin 8,27-01-2024 10:42,27-01-2024 10:48,27-01-2024 11:24,27-01-2024 11:26,9.9,7,Medium,Car
Dublin 4,Dublin 15,15-02-2024 07:35,15-02-2024 07:46,15-02-2024 08:45,15-02-2024 08:47,13.85,4,High,Bike
Dublin 12,Dublin 1,16-01-2024 12:19,16-01-2024 12:21,16-01-2024 12:33,16-01-2024 12:34,5.24,3,Medium,Car
Dublin 12,Dublin 2,12-01-2024 20:07,12-01-2024 20:21,12-01-2024 20:31,12-01-2024 20:31,4.8,3,Low,Car
Dublin 2,Dublin 4,17-02-2024 04:48,17-02-2024 05:02,17-02-2024 05:11,17-02-2024 05:10,3.37,5,Medium,Car
Dublin 4,Dublin 11,21-02-2024 00:39,21-02-2024 00:43,21-02-2024 01:11,21-02-2024 01:10,7.93,2,Medium,Van
Dublin 9,Dublin 15,25-02-2024 17:51,25-02-2024 18:01,25-02-2024 18:18,25-02-2024 18:19,9.73,4,Low,Bike
Dublin 9,Dublin 12,07-02-2024 13:12,07-02-2024 13:23,07-02-2024 13:43,07-02-2024 13:42,9.46,5,Medium,Bike
Dublin 12,Dublin 4,18-01-2024 00:45,18-01-2024 00:57,18-01-2024 01:13,18-01-2024 01:13,7.99,2,Medium,Van
Dublin 2,Dublin 4,02-01-2024 01:00,02-01-2024 01:10,02-01-2024 01:16,02-01-2024 01:15,2.64,4,Medium,Car
Dublin 9,Dublin 12,17-01-2024 10:03,17-01-2024 10:12,17-01-2024 10:39,17-01-2024 10:39,8.72,3,Medium,Car
Dublin 6,Dublin 8,15-02-2024 05:36,15-02-2024 05:42,15-02-2024 05:45,15-02-2024 05:45,1.73,7,Low,Car
Dublin 14,Dublin 11,27-01-2024 07:09,27-01-2024 07:15,27-01-2024 07:39,27-01-2024 07:39,10.89,2,Medium,Van
Dublin 1,Dublin 6,09-02-2024 12:31,09-02-2024 12:40,09-02-2024 12:45,09-02-2024 12:46,3.03,5,Low,Bike
Dublin 9,Dublin 8,16-01-2024 09:44,16-01-2024 09:46,16-01-2024 09:56,16-01-2024 09:56,4.81,1,Low,Bike
Dublin 4,Dublin 8,24-01-2024 22:43,24-01-2024 22:53,24-01-2024 23:02,24-01-2024 23:01,4.65,3,Medium,Car
Dublin 4,Dublin 2,20-01-2024 03:51,20-01-2024 04:00,20-01-2024 04:07,20-01-2024 04:08,2.51,5,High,Bike
Dublin 1,Dublin 14,19-02-2024 07:05,19-02-2024 07:18,19-02-2024 07:31,19-02-2024 07:32,6.55,0,Low,Van
Dublin 9,Dublin 6,26-01-2024 23:41,26-01-2024 23:51,27-01-2024 00:10,27-01-2024 00:09,6.89,2,Medium,Bike
Dublin 12,Dublin 8,11-01-2024 07:27,11-01-2024 07:39,11-01-2024 07:45,11-01-2024 07:45,3.02,2,Medium,Car
Dublin 11,Dublin 12,25-01-2024 06:39,25-01-2024 06:41,25-01-2024 07:02,25-01-2024 07:01,8.29,1,High,Car
Dublin 2,Dublin 9,08-01-2024 12:43,08-01-2024 12:55,08-01-2024 13:02,08-01-2024 13:03,3.1,7,Medium,Bike
Dublin 14,Dublin 9,26-01-2024 11:10,26-01-2024 11:18,26-01-2024 11:39,26-01-2024 11:40,8.1,0,Medium,Car
Dublin 9,Dublin 1,09-02-2024 18:43,09-02-2024 18:45,09-02-2024 18:54,09-02-2024 18:55,3.26,2,High,Bike
Dublin 14,Dublin 1,28-02-2024 02:04,28-02-2024 02:15,28-02-2024 02:29,28-02-2024 02:30,5.33,2,Low,Bike
Dublin 6,Dublin 8,13-02-2024 02:58,13-02-2024 03:01,13-02-2024 03:08,13-02-2024 03:09,2.24,2,Medium,Car
Dublin 4,Dublin 6,28-02-2024 02:40,28-02-2024 02:55,28-02-2024 03:01,28-02-2024 03:02,3.06,3,Low,Car
Dublin 6,Dublin 1,09-02-2024 20:47,09-02-2024 20:49,09-02-2024 20:57,09-02-2024 20:58,3.44,0,Medium,Car
Dublin 1,Dublin 11,25-01-2024 06:41,25-01-2024 06:51,25-01-2024 07:04,25-01-2024 07:02,5.3,2,Medium,Car
Dublin 12,Dublin 14,01-03-2024 03:06,01-03-2024 03:09,01-03-2024 03:26,01-03-2024 03:26,6.05,5,High,Van
Dublin 12,Dublin 11,24-02-2024 18:00,24-02-2024 18:06,24-02-2024 18:29,24-02-2024 18:33,7.79,6,Medium,Bike
Dublin 8,Dublin 11,11-02-2024 00:51,11-02-2024 00:57,11-02-2024 01:09,11-02-2024 01:10,5.74,3,Low,Bike
Dublin 9,Dublin 2,01-02-2024 23:17,01-02-2024 23:29,01-02-2024 23:48,01-02-2024 23:47,5.43,4,Medium,Van
Dublin 12,Dublin 15,07-02-2024 20:02,07-02-2024 20:13,07-02-2024 20:35,07-02-2024 20:35,9.35,4,Low,Car
Dublin 11,Dublin 1,21-02-2024 12:16,21-02-2024 12:29,21-02-2024 12:41,21-02-2024 12:43,5.34,2,Medium,Car
Dublin 12,Dublin 11,06-02-2024 14:55,06-02-2024 15:00,06-02-2024 15:35,06-02-2024 15:34,8.58,3,High,Car
Dublin 9,Dublin 1,29-01-2024 09:57,29-01-2024 10:05,29-01-2024 10:14,29-01-2024 10:16,3.43,1,Medium,Bike
Dublin 6,Dublin 2,26-02-2024 03:46,26-02-2024 03:56,26-02-2024 04:01,26-02-2024 04:01,1.88,1,Medium,Bike
Dublin 1,Dublin 11,09-01-2024 13:09,09-01-2024 13:22,09-01-2024 13:33,09-01-2024 13:32,5.2,4,Medium,Car
Dublin 14,Dublin 2,29-02-2024 22:43,29-02-2024 22:44,29-02-2024 22:56,29-02-2024 22:57,4.32,2,Medium,Bike
Dublin 4,Dublin 14,06-02-2024 08:02,06-02-2024 08:16,06-02-2024 08:25,06-02-2024 08:25,2.85,7,Medium,Bike
Dublin 9,Dublin 11,20-01-2024 23:01,20-01-2024 23:10,20-01-2024 23:17,20-01-2024 23:17,3.29,3,Medium,Bike
Dublin 1,Dublin 14,10-01-2024 15:57,10-01-2024 16:06,10-01-2024 16:21,10-01-2024 16:21,5.57,3,Medium,Bike
Dublin 8,Dublin 1,22-01-2024 06:27,22-01-2024 06:38,22-01-2024 06:45,22-01-2024 06:45,2.26,1,Medium,Bike
Dublin 2,Dublin 11,29-02-2024 23:28,29-02-2024 23:35,29-02-2024 23:46,29-02-2024 23:46,6.57,2,Low,Bike
Dublin 2,Dublin 14,08-02-2024 03:24,08-02-2024 03:25,08-02-2024 03:31,08-02-2024 03:31,3.55,1,Low,Car
Dublin 4,Dublin 2,23-02-2024 20:55,23-02-2024 21:08,23-02-2024 21:14,23-02-2024 21:14,2.82,2,Medium,Van
Dublin 9,Dublin 11,16-02-2024 23:15,16-02-2024 23:27,16-02-2024 23:38,16-02-2024 23:37,4.51,3,Low,Bike
Dublin 8,Dublin 15,13-02-2024 05:47,13-02-2024 05:54,13-02-2024 06:21,13-02-2024 06:24,9.84,3,Low,Van
Dublin 14,Dublin 8,14-02-2024 07:53,14-02-2024 07:58,14-02-2024 08:11,14-02-2024 08:10,4.04,4,High,Bike
Dublin 1,Dublin 12,06-02-2024 03:55,06-02-2024 04:01,06-02-2024 04:16,06-02-2024 04:15,6.55,2,Medium,Car
Dublin 15,Dublin 1,06-02-2024 12:01,06-02-2024 12:14,06-02-2024 12:35,06-02-2024 12:33,9.4,5,Low,Car
Dublin 8,Dublin 9,14-01-2024 10:04,14-01-2024 10:17,14-01-2024 10:35,14-01-2024 10:33,5.07,1,Medium,Car
Dublin 6,Dublin 12,24-02-2024 08:19,24-02-2024 08:23,24-02-2024 08:33,24-02-2024 08:33,4.7,4,Low,Van
Dublin 14,Dublin 15,22-01-2024 11:45,22-01-2024 11:46,22-01-2024 12:32,22-01-2024 12:34,14.77,1,Medium,Bike
Dublin 9,Dublin 4,04-01-2024 15:45,04-01-2024 15:51,04-01-2024 16:07,04-01-2024 16:08,6.66,3,Medium,Van
Dublin 8,Dublin 6,21-02-2024 12:36,21-02-2024 12:49,21-02-2024 12:57,21-02-2024 12:56,2.91,5,Medium,Van
Dublin 6,Dublin 9,12-02-2024 07:52,12-02-2024 08:04,12-02-2024 08:21,12-02-2024 08:24,6.86,5,Medium,Car
Dublin 2,Dublin 11,08-01-2024 09:18,08-01-2024 09:25,08-01-2024 09:44,08-01-2024 09:43,6.56,6,Low,Car
Dublin 2,Dublin 4,19-01-2024 07:09,19-01-2024 07:17,19-01-2024 07:28,19-01-2024 07:30,2.48,4,High,Van
Dublin 12,Dublin 4,27-02-2024 07:52,27-02-2024 08:05,27-02-2024 08:30,27-02-2024 08:30,7.29,2,Medium,Van
Dublin 11,Dublin 1,28-01-2024 08:15,28-01-2024 08:17,28-01-2024 08:31,28-01-2024 08:31,4.54,2,Medium,Van
Dublin 8,Dublin 14,30-01-2024 16:15,30-01-2024 16:25,30-01-2024 16:42,30-01-2024 16:42,5.22,3,High,Bike
Dublin 8,Dublin 14,19-01-2024 22:39,19-01-2024 22:52,19-01-2024 23:03,19-01-2024 23:04,5.05,3,Medium,Car
Dublin 8,Dublin 12,12-02-2024 11:10,12-02-2024 11:14,12-02-2024 11:25,12-02-2024 11:26,4.04,3,High,Car
Dublin 4,Dublin 14,13-02-2024 11:11,13-02-2024 11:12,13-02-2024 11:24,13-02-2024 11:25,3.68,2,Medium,Car
Dublin 1,Dublin 8,18-01-2024 09:58,18-01-2024 10:02,18-01-2024 10:06,18-01-2024 10:07,1.59,6,Medium,Bike
Dublin 1,Dublin 15,12-02-2024 23:52,13-02-2024 00:02,13-02-2024 00:24,13-02-2024 00:24,10.11,2,Low,Car
Dublin 6,Dublin 9,27-02-2024 13:40,27-02-2024 13:41,27-02-2024 14:07,27-02-2024 14:10,6.57,0,High,Van
Dublin 11,Dublin 15,29-01-2024 03:55,29-01-2024 04:01,29-01-2024 04:16,29-01-2024 04:17,5.54,1,Medium,Bike
Dublin 14,Dublin 6,08-01-2024 09:14,08-01-2024 09:24,08-01-2024 09:28,08-01-2024 09:29,2.48,6,Low,Bike
Dublin 8,Dublin 15,10-01-2024 15:31,10-01-2024 15:34,10-01-2024 16:00,10-01-2024 15:56,10.39,5,Medium,Car
Dublin 9,Dublin 15,24-02-2024 05:36,24-02-2024 05:46,24-02-2024 06:02,24-02-2024 06:03,9.51,1,Low,Van
Dublin 12,Dublin 6,16-01-2024 15:13,16-01-2024 15:14,16-01-2024 15:22,16-01-2024 15:22,4.06,3,Medium,Bike
Dublin 15,Dublin 4,14-01-2024 09:06,14-01-2024 09:09,14-01-2024 10:03,14-01-2024 10:04,13.88,6,Medium,Bike
Dublin 1,Dublin 4,16-02-2024 21:50,16-02-2024 22:03,16-02-2024 22:11,16-02-2024 22:12,3.24,3,Medium,Bike
Dublin 14,Dublin 2,23-01-2024 05:58,23-01-2024 06:07,23-01-2024 06:15,23-01-2024 06:15,3.85,2,Medium,Car
Dublin 9,Dublin 8,17-02-2024 20:17,17-02-2024 20:23,17-02-2024 20:33,17-02-2024 20:32,4.95,3,Medium,Van
Dublin 4,Dublin 8,14-01-2024 08:08,14-01-2024 08:22,14-01-2024 08:34,14-01-2024 08:32,4.29,3,Medium,Car
Dublin 8,Dublin 2,21-02-2024 02:45,21-02-2024 03:00,21-02-2024 03:04,21-02-2024 03:04,1.32,5,Medium,Bike
Dublin 9,Dublin 12,01-02-2024 19:49,01-02-2024 20:01,01-02-2024 20:22,01-02-2024 20:17,8.54,3,Medium,Van
Dublin 6,Dublin 11,04-02-2024 09:27,04-02-2024 09:30,04-02-2024 09:49,04-02-2024 09:49,7.59,2,High,Bike
Dublin 9,Dublin 14,19-01-2024 01:44,19-01-2024 01:45,19-01-2024 02:13,19-01-2024 02:08,9.49,3,Medium,Van
Dublin 8,Dublin 14,02-01-2024 12:23,02-01-2024 12:33,02-01-2024 12:42,02-01-2024 12:40,4.67,2,Low,Car
Dublin 11,Dublin 1,24-01-2024 08:46,24-01-2024 08:51,24-01-2024 09:00,24-01-2024 09:00,4.6,5,Medium,Van
Dublin 12,Dublin 15,27-02-2024 21:08,27-02-2024 21:16,27-02-2024 21:40,27-02-2024 21:41,9.13,2,Medium,Van
Dublin 14,Dublin 2,04-01-2024 19:26,04-01-2024 19:32,04-01-2024 19:39,04-01-2024 19:37,4.17,5,Low,Bike
Dublin 4,Dublin 2,08-02-2024 12:34,08-02-2024 12:48,08-02-2024 12:59,08-02-2024 12:57,2.29,3,High,Car
Dublin 1,Dublin 9,10-01-2024 04:56,10-01-2024 05:10,10-01-2024 05:16,10-01-2024 05:16,3.1,4,Medium,Bike
Dublin 15,Dublin 1,31-01-2024 14:43,31-01-2024 14:57,31-01-2024 15:19,31-01-2024 15:19,10.85,4,Medium,Van
Dublin 4,Dublin 15,03-02-2024 16:05,03-02-2024 16:14,03-02-2024 16:37,03-02-2024 16:38,12.82,3,Low,Car
Dublin 1,Dublin 2,18-01-2024 21:29,18-01-2024 21:43,18-01-2024 21:47,18-01-2024 21:46,1.03,2,Medium,Bike
Dublin 4,Dublin 12,05-01-2024 09:13,05-01-2024 09:18,05-01-2024 09:36,05-01-2024 09:36,7.86,5,Medium,Car
Dublin 1,Dublin 8,26-01-2024 06:02,26-01-2024 06:11,26-01-2024 06:15,26-01-2024 06:16,1.34,2,Medium,Car
Dublin 2,Dublin 15,12-02-2024 11:27,12-02-2024 11:29,12-02-2024 12:01,12-02-2024 12:01,11.57,2,Low,Car
Dublin 4,Dublin 9,24-02-2024 03:23,24-02-2024 03:34,24-02-2024 03:49,24-02-2024 03:49,5.31,4,High,Car
Dublin 6,Dublin 9,12-02-2024 05:38,12-02-2024 05:40,12-02-2024 05:58,12-02-2024 05:57,6.68,3,High,Bike
Dublin 6,Dublin 4,29-01-2024 14:16,29-01-2024 14:17,29-01-2024 14:26,29-01-2024 14:26,2.83,5,Medium,Bike
Dublin 15,Dublin 9,08-02-2024 00:21,08-02-2024 00:25,08-02-2024 01:06,08-02-2024 01:05,10.23,1,High,Bike
Dublin 8,Dublin 12,25-01-2024 09:54,25-01-2024 09:56,25-01-2024 10:07,25-01-2024 10:07,4.4,3,Medium,Bike
Dublin 14,Dublin 12,27-02-2024 18:29,27-02-2024 18:40,27-02-2024 19:13,27-02-2024 19:14,6.68,1,High,Van
Dublin 11,Dublin 4,19-02-2024 07:10,19-02-2024 07:20,19-02-2024 07:35,19-02-2024 07:35,8.45,3,Low,Bike
Dublin 8,Dublin 6,01-02-2024 11:30,01-02-2024 11:42,01-02-2024 11:51,01-02-2024 11:51,2.68,3,High,Car
Dublin 8,Dublin 2,17-02-2024 01:15,17-02-2024 01:28,17-02-2024 01:30,17-02-2024 01:30,0.69,3,Low,Bike
Dublin 2,Dublin 14,01-03-2024 06:08,01-03-2024 06:19,01-03-2024 06:30,01-03-2024 06:30,4.1,1,Low,Car
Dublin 9,Dublin 15,04-02-2024 17:33,04-02-2024 17:44,04-02-2024 18:24,04-02-2024 18:30,10.69,7,Medium,Car
Dublin 9,Dublin 1,15-01-2024 18:47,15-01-2024 18:54,15-01-2024 19:05,15-01-2024 19:06,3.82,2,Medium,Van
Dublin 4,Dublin 9,29-01-2024 05:04,29-01-2024 05:07,29-01-2024 05:26,29-01-2024 05:25,5.75,3,Medium,Bike
Dublin 15,Dublin 12,24-02-2024 08:41,24-02-2024 08:51,24-02-2024 09:10,24-02-2024 09:10,8.36,1,Medium,Car
Dublin 6,Dublin 8,04-02-2024 07:18,04-02-2024 07:28,04-02-2024 07:34,04-02-2024 07:34,2.54,1,Medium,Bike
Dublin 6,Dublin 14,11-01-2024 03:36,11-01-2024 03:43,11-01-2024 03:53,11-01-2024 03:53,3.36,4,Medium,Car
Dublin 15,Dublin 1,16-01-2024 06:19,16-01-2024 06:28,16-01-2024 06:52,16-01-2024 06:53,10.24,6,Low,Car
Dublin 14,Dublin 6,22-02-2024 00:47,22-02-2024 01:00,22-02-2024 01:05,22-02-2024 01:05,2.69,1,Low,Car
Dublin 1,Dublin 2,29-01-2024 11:37,29-01-2024 11:50,29-01-2024 11:53,29-01-2024 11:53,1.4,3,Medium,Car
Dublin 4,Dublin 12,01-01-2024 09:50,01-01-2024 10:01,01-01-2024 10:12,01-01-2024 10:11,7.11,3,Low,Bike
Dublin 2,Dublin 4,22-01-2024 19:57,22-01-2024 20:11,22-01-2024 20:17,22-01-2024 20:17,2.17,1,Low,Bike
Dublin 14,Dublin 9,01-01-2024 18:48,01-01-2024 18:56,01-01-2024 19:19,01-01-2024 19:22,8.58,4,Low,Car
Dublin 11,Dublin 6,13-02-2024 07:46,13-02-2024 07:57,13-02-2024 08:19,13-02-2024 08:18,8.13,9,Medium,Bike
Dublin 2,Dublin 11,13-01-2024 00:43,13-01-2024 00:49,13-01-2024 01:07,13-01-2024 01:11,5.28,2,Medium,Car
Dublin 8,Dublin 11,24-02-2024 16:01,24-02-2024 16:08,24-02-2024 16:24,24-02-2024 16:25,5.6,3,Medium,Car
Dublin 15,Dublin 1,21-01-2024 12:17,21-01-2024 12:32,21-01-2024 12:54,21-01-2024 12:57,10.08,3,Medium,Bike
Dublin 9,Dublin 14,01-01-2024 11:28,01-01-2024 11:38,01-01-2024 12:03,01-01-2024 12:02,8.83,1,Medium,Bike
Dublin 6,Dublin 4,15-02-2024 20:09,15-02-2024 20:13,15-02-2024 20:19,15-02-2024 20:19,2.44,3,Low,Bike
Dublin 11,Dublin 4,09-02-2024 01:58,09-02-2024 02:01,09-02-2024 02:20,09-02-2024 02:19,8.63,2,Low,Van
Dublin 1,Dublin 8,08-02-2024 17:17,08-02-2024 17:20,08-02-2024 17:25,08-02-2024 17:24,2.56,7,Low,Van
Dublin 12,Dublin 2,01-02-2024 20:28,01-02-2024 20:39,01-02-2024 20:52,01-02-2024 20:50,5.54,2,Medium,Car
Dublin 1,Dublin 4,30-01-2024 08:55,30-01-2024 08:58,30-01-2024 09:08,30-01-2024 09:07,3.47,4,Medium,Car
Dublin 12,Dublin 11,08-02-2024 18:52,08-02-2024 19:05,08-02-2024 19:22,08-02-2024 19:25,8.28,3,Low,Car
Dublin 2,Dublin 15,11-02-2024 07:37,11-02-2024 07:46,11-02-2024 08:16,11-02-2024 08:20,11.16,5,Medium,Bike
Dublin 14,Dublin 9,11-01-2024 11:57,11-01-2024 12:10,11-01-2024 12:27,11-01-2024 12:29,8.08,3,Low,Car
Dublin 2,Dublin 4,01-01-2024 23:11,01-01-2024 23:17,01-01-2024 23:25,01-01-2024 23:25,2.72,2,High,Bike
Dublin 14,Dublin 15,11-02-2024 17:56,11-02-2024 18:03,11-02-2024 18:38,11-02-2024 18:33,14.98,5,Low,Bike
Dublin 12,Dublin 9,05-01-2024 21:23,05-01-2024 21:38,05-01-2024 22:04,05-01-2024 22:04,9.05,5,Medium,Car
Dublin 8,Dublin 1,19-02-2024 17:39,19-02-2024 17:44,19-02-2024 17:48,19-02-2024 17:47,1.97,3,Low,Bike
Dublin 9,Dublin 8,28-02-2024 05:19,28-02-2024 05:20,28-02-2024 05:35,28-02-2024 05:35,5.2,1,Medium,Bike
Dublin 11,Dublin 6,17-01-2024 06:48,17-01-2024 06:50,17-01-2024 07:19,17-01-2024 07:23,8.3,1,Medium,Bike
Dublin 12,Dublin 11,26-01-2024 08:04,26-01-2024 08:10,26-01-2024 08:36,26-01-2024 08:32,8.51,4,High,Bike
Dublin 14,Dublin 15,12-02-2024 01:25,12-02-2024 01:26,12-02-2024 01:56,12-02-2024 01:57,13.8,4,Low,Bike
Dublin 2,Dublin 11,16-02-2024 23:51,17-02-2024 00:03,17-02-2024 00:12,17-02-2024 00:13,5.95,4,Low,Car
Dublin 11,Dublin 1,18-01-2024 01:48,18-01-2024 02:00,18-01-2024 02:09,18-01-2024 02:09,5.13,3,Low,Van
Dublin 11,Dublin 2,18-01-2024 18:39,18-01-2024 18:49,18-01-2024 19:05,18-01-2024 19:05,6.98,6,Low,Car
Dublin 6,Dublin 1,04-02-2024 09:31,04-02-2024 09:41,04-02-2024 09:49,04-02-2024 09:49,3.5,5,Medium,Car
Dublin 4,Dublin 8,15-02-2024 23:40,15-02-2024 23:51,16-02-2024 00:01,16-02-2024 00:01,4.89,3,Low,Bike
Dublin 8,Dublin 1,07-02-2024 09:30,07-02-2024 09:34,07-02-2024 09:39,07-02-2024 09:39,2.22,3,Low,Bike
Dublin 8,Dublin 12,24-02-2024 20:42,24-02-2024 20:55,24-02-2024 21:08,24-02-2024 21:06,3.48,2,High,Bike
Dublin 1,Dublin 9,21-01-2024 10:54,21-01-2024 10:56,21-01-2024 11:02,21-01-2024 11:02,2.52,0,Medium,Car
Dublin 12,Dublin 15,08-02-2024 15:10,08-02-2024 15:21,08-02-2024 15:45,08-02-2024 15:43,9.32,2,Medium,Car
